IP,Ping,Nome do host,Portas
192.168.2.131,[n/d],[n/e],[n/e]
192.168.2.132,[n/d],[n/e],[n/e]
192.168.2.133,[n/d],[n/e],[n/e]
192.168.2.134,[n/d],[n/e],[n/e]
192.168.2.135,[n/d],[n/e],[n/e]
192.168.2.136,8 ms,CRISTINA,80.443.8080
192.168.2.137,[n/d],[n/e],[n/e]
192.168.2.138,[n/d],[n/e],[n/e]
192.168.2.139,[n/d],[n/e],[n/e]
192.168.2.140,[n/d],[n/e],[n/e]
192.168.2.141,[n/d],[n/e],[n/e]
192.168.2.142,[n/d],[n/e],[n/e]
192.168.2.143,8 ms,DIRETORIA,80.443.8080
192.168.2.144,[n/d],[n/e],[n/e]
192.168.2.145,[n/d],[n/e],[n/e]
192.168.2.146,[n/d],[n/e],[n/e]
192.168.2.147,[n/d],[n/e],[n/e]
192.168.2.148,[n/d],[n/e],[n/e]
192.168.2.149,[n/d],[n/e],[n/e]
192.168.2.150,[n/d],[n/e],[n/e]
192.168.2.151,[n/d],[n/e],[n/e]
192.168.2.152,[n/d],[n/e],[n/e]
192.168.2.153,[n/d],[n/e],[n/e]
192.168.2.154,[n/d],[n/e],[n/e]
192.168.2.155,[n/d],[n/e],[n/e]
192.168.2.156,[n/d],[n/e],[n/e]
192.168.2.157,[n/d],[n/e],[n/e]
192.168.2.158,[n/d],[n/e],[n/e]
192.168.2.159,[n/d],[n/e],[n/e]
192.168.2.160,[n/d],[n/e],[n/e]
192.168.2.161,[n/d],[n/e],[n/e]
192.168.2.162,[n/d],[n/e],[n/e]
192.168.2.163,[n/d],[n/e],[n/e]
192.168.2.164,[n/d],[n/e],[n/e]
192.168.2.165,[n/d],[n/e],[n/e]
192.168.2.166,[n/d],[n/e],[n/e]
192.168.2.167,[n/d],[n/e],[n/e]
192.168.2.168,[n/d],[n/e],[n/e]
192.168.2.169,[n/d],[n/e],[n/e]
192.168.2.170,[n/d],[n/e],[n/e]
192.168.2.171,[n/d],[n/e],[n/e]
192.168.2.172,[n/d],[n/e],[n/e]
192.168.2.173,[n/d],[n/e],[n/e]
192.168.2.174,[n/d],[n/e],[n/e]
192.168.2.175,[n/d],[n/e],[n/e]
192.168.2.176,[n/d],[n/e],[n/e]
192.168.2.177,[n/d],[n/e],[n/e]
192.168.2.178,[n/d],[n/e],[n/e]
192.168.2.179,[n/d],[n/e],[n/e]
192.168.2.180,[n/d],[n/e],[n/e]
192.168.2.181,[n/d],[n/e],[n/e]
192.168.2.182,[n/d],[n/e],[n/e]
192.168.2.183,[n/d],[n/e],[n/e]
192.168.2.184,[n/d],[n/e],[n/e]
192.168.2.185,[n/d],[n/e],[n/e]
192.168.2.186,[n/d],[n/e],[n/e]
192.168.2.187,[n/d],[n/e],[n/e]
192.168.2.188,[n/d],[n/e],[n/e]
192.168.2.189,[n/d],[n/e],[n/e]
192.168.2.190,[n/d],[n/e],[n/e]
192.168.2.191,[n/d],[n/e],[n/e]
192.168.2.192,[n/d],[n/e],[n/e]
192.168.2.193,[n/d],[n/e],[n/e]
192.168.2.194,[n/d],[n/e],[n/e]
192.168.2.195,[n/d],[n/e],[n/e]
192.168.2.196,[n/d],[n/e],[n/e]
192.168.2.197,[n/d],[n/e],[n/e]
192.168.2.198,[n/d],[n/e],[n/e]
192.168.2.199,[n/d],[n/e],[n/e]
192.168.2.200,[n/d],[n/e],[n/e]
192.168.2.201,[n/d],[n/e],[n/e]
192.168.2.202,[n/d],[n/e],[n/e]
192.168.2.203,[n/d],[n/e],[n/e]
192.168.2.204,[n/d],[n/e],[n/e]
